2234494;2017-01-11;Bergsrådsvägen 20;Bagarmossen;18.12782174;59.27568205;2;1;52;2195000;415000;2610000;3622;3792;;Lägenhet;Länsförsäkringar Fastighetsförmedling;64;Broker
2232894;2017-01-11;Vårvägen 5;Vireberg;17.98828935;59.36119472;1;1;22;1650000;430000;2080000;1099;3557;1955;Lägenhet;Länsförsäkringar Fastighetsförmedling;64;Broker
2232891;2017-01-11;Infanterigatan 15;Huvudsta;18.00124884;59.3512155;1;9;44.5;2195000;635000;2830000;2081;3839;1962;Lägenhet;Länsförsäkringar Fastighetsförmedling;64;Broker
2228399;2017-01-11;Vintervägen 41;Råsunda;17.99729487;59.36882896;3;4;70.5;3395000;625000;4020000;3239;2565;1966;Lägenhet;Länsförsäkringar Fastighetsförmedling;64;Broker
2236062;2017-01-11;Lomvägen 653;Kärrdal;17.99716613;59.430099;1.5;;42.5;1795000;55000;1850000;2322;636;1974;Radhus;Fastighetsbyrån;1573;Broker
2235324;2017-01-11;Göran Perssons väg 29;Huvudsta;17.98164309;59.35299057;1.5;1;44;1995000;425000;2420000;2419;4416;1970;Lägenhet;Fastighetsbyrån;1573;Broker
2235222;2017-01-11;Sankt Eriksgatan 85C;Vasastan;18.03658601;59.34076553;1;0.5;35;2950000;430000;3380000;927;2327;1928;Lägenhet;Fastighetsbyrån;1573;Broker
2256241;2017-02-25;Lilla Slingan 10;Viby;17.89856711;59.45545342;7;;142;6495000;375000;6870000;;;1986;Villa;ERA;1562;Broker
2234663;2017-01-11;Bärkingeplan 6;Spånga;17.89705465;59.39177369;3;2;89;1675000;375000;2050000;5445;;1968;Lägenhet;Fastighetsbyrån;1573;Broker
2233211;2017-01-11;Evenemangsgatan 8;Arenastaden;18.00255929;59.36997959;2;4;70;3295000;215000;3510000;4474;2329;2013;Lägenhet;Fastighetsbyrån;1573;Broker
2230758;2017-01-11;Lövgatan 49;Råsunda;17.98037428;59.36367053;3;3;82.5;3595000;310000;3905000;5473;3562;1992;Lägenhet;Fastighetsbyrån;1573;Broker
2230617;2017-01-11;Midsommarvägen 48;Midsommarkransen;18.00772503;59.30062296;2;1;56;2895000;725000;3620000;3444;4390;1944;Lägenhet;Fastighetsbyrån;1573;Broker
